artist_uri,genre
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,cali rap
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,dance pop
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,pop
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,rap
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,trap queen
spotify:artist:0noF2OIkgZeUFglAffOQq9,""
spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,british soul
spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,funk
spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,post-disco
spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,quiet storm
spotify:artist:2sIx6SmAMw9IBySG3Uj0jf,urban contemporary
spotify:artist:5G9jPTXdfaEAHy7HfyVs59,""
spotify:artist:3rwgQ1VIPNAFyvxWqnQTXD,""
spotify:artist:4KqKrtbthkLIucOXM3fGdV,british soul
spotify:artist:34v5MVKeQnIo0CWYMbbrPf,dance pop
spotify:artist:4lDXfIznmGueBgTjI3qGUX,new french touch
spotify:artist:4lDXfIznmGueBgTjI3qGUX,nice indie
spotify:artist:4lDXfIznmGueBgTjI3qGUX,tropical house
spotify:artist:6kx1NiHogZzkSU7lHMc3Ow,electro house
spotify:artist:6kx1NiHogZzkSU7lHMc3Ow,future bass
